Formula,Name,M+2H,M-H,Exact Mass,M+H,M+Na,2M-H,2M+H,2M+Na,,,,,,,,,,
C2H4,Ethylene,15.02262,27.0234,28.0307,29.0380,51.0297,55.0541,57.0687,79.0604,,,,,,,1000000,1000000,1000000,1000000
H2S,Hydrogen sulfide,15.52262,28.0234,29.0307,30.0380,52.0297,57.0541,59.0687,81.0604,,,,,,,1000000,1000000,1000000,1000000
H2O2,Hydrogenperoxyd,16.02262,29.0234,30.0307,31.0380,53.0297,59.0541,61.0687,83.0604,,,,,,,1000000,1000000,1000000,1000000
CH2O2,Formic acid,16.52262,30.0234,31.0307,32.0380,54.0297,61.0541,63.0687,85.0604,,,,,,,1000000,1000000,1000000,1000000
CH4S,Methyl mercaptane,17.02262,31.0234,32.0307,33.0380,55.0297,63.0541,65.0687,87.0604,,,,,,,1000000,1000000,1000000,1000000
C2H5NO,A1-RC 262,17.52262,32.0234,33.0307,34.0380,56.0297,65.0541,67.0687,89.0604,,,,,,,1000000,1000000,1000000,1000000
C2H5NO,Acetamide,18.02262,33.0234,34.0307,35.0380,57.0297,67.0541,69.0687,91.0604,,,,,,,1000000,1000000,1000000,1000000
C2H4O2,Acetic acid,18.52262,34.0234,35.0307,36.0380,58.0297,69.0541,71.0687,93.0604,,,,,,,1000000,1000000,1000000,1000000
CH4N2O,Urea; Carbamide,19.02262,35.0234,36.0307,37.0380,59.0297,71.0541,73.0687,95.0604,,,,,,,1000000,1000000,1000000,1000000
C5H8,Isoprene,19.52262,36.0234,37.0307,38.0380,60.0297,73.0541,75.0687,97.0604,,,,,,,1000000,1000000,1000000,1000000
C3H2O2,2-Propynoic acid,20.02262,37.0234,38.0307,39.0380,61.0297,75.0541,77.0687,99.0604,,,,,,,1000000,1000000,1000000,1000000
C3H6N2,Acrylamidine; U-20904; D-274-2,20.52262,38.0234,39.0307,40.0380,62.0297,77.0541,79.0687,101.0604,,,,,,,1000000,1000000,1000000,1000000
C3H4O2,Methylglyoxal; BPG,21.02262,39.0234,40.0307,41.0380,63.0297,79.0541,81.0687,103.0604,,,,,,,1000000,1000000,1000000,1000000
C3H7NO,A 2315-C,21.52262,40.0234,41.0307,42.0380,64.0297,81.0541,83.0687,105.0604,,,,,,,1000000,1000000,1000000,1000000
C3H7NO,B-28963,22.02262,41.0234,42.0307,43.0380,65.0297,83.0541,85.0687,107.0604,,,,,,,1000000,1000000,1000000,1000000
C3H7NO,Aminoacetone,22.52262,42.0234,43.0307,44.0380,66.0297,85.0541,87.0687,109.0604,,,,,,,1000000,1000000,1000000,1000000
C4H11N,n-Butylamine,23.02262,43.0234,44.0307,45.0380,67.0297,87.0541,89.0687,111.0604,,,,,,,1000000,1000000,1000000,1000000
C3H6O2,Propionic acid,23.52262,44.0234,45.0307,46.0380,68.0297,89.0541,91.0687,113.0604,,,,,,,1000000,1000000,1000000,1000000
C4H10O,1-Butanol,24.02262,45.0234,46.0307,47.0380,69.0297,91.0541,93.0687,115.0604,,,,,,,1000000,1000000,1000000,1000000
C3H10N2,Diaminopropane,24.52262,46.0234,47.0307,48.0380,70.0297,93.0541,95.0687,117.0604,,,,,,,1000000,1000000,1000000,1000000
C2H4OS,Thioacetic acid,25.02262,47.0234,48.0307,49.0380,71.0297,95.0541,97.0687,119.0604,,,,,,,1000000,1000000,1000000,1000000
C2H4OS,Ethanethioic acid,25.52262,48.0234,49.0307,50.0380,72.0297,97.0541,99.0687,121.0604,,,,,,,1000000,1000000,1000000,1000000
C2H4O3,Glycolic acid,26.02262,49.0234,50.0307,51.0380,73.0297,99.0541,101.0687,123.0604,,,,,,,1000000,1000000,1000000,1000000
C4H4N2,Pyrazine,26.52262,50.0234,51.0307,52.0380,74.0297,101.0541,103.0687,125.0604,,,,,,,1000000,1000000,1000000,1000000
C3H3N3,"1,3,5-Triazene",27.02262,51.0234,52.0307,53.0380,75.0297,103.0541,105.0687,127.0604,,,,,,,1000000,1000000,1000000,1000000
C5H8O,Cyclopentanone,27.52262,52.0234,53.0307,54.0380,76.0297,105.0541,107.0687,129.0604,,,,,,,1000000,1000000,1000000,1000000
C4H6O2,Crotonic acid,28.02262,53.0234,54.0307,55.0380,77.0297,107.0541,109.0687,131.0604,,,,,,,1000000,1000000,1000000,1000000
C4H6O2,But-3-enoic acid,28.52262,54.0234,55.0307,56.0380,78.0297,109.0541,111.0687,133.0604,,,,,,,1000000,1000000,1000000,1000000
C5H10O,1-Penten-3-ol,29.02262,55.0234,56.0307,57.0380,79.0297,111.0541,113.0687,135.0604,,,,,,,1000000,1000000,1000000,1000000
C5H10O,3-Methyl-3-buten-1-ol,29.52262,56.0234,57.0307,58.0380,80.0297,113.0541,115.0687,137.0604,,,,,,,1000000,1000000,1000000,1000000
C5H10O,3-Methyl-2-buten-1-ol,30.02262,57.0234,58.0307,59.0380,81.0297,115.0541,117.0687,139.0604,,,,,,,1000000,1000000,1000000,1000000
C4H10N2,Piperazine,30.52262,58.0234,59.0307,60.0380,82.0297,117.0541,119.0687,141.0604,,,,,,,1000000,1000000,1000000,1000000
C4H9NO,Isobutyramide,31.02262,59.0234,60.0307,61.0380,83.0297,119.0541,121.0687,143.0604,,,,,,,1000000,1000000,1000000,1000000
C5H13N,Amylamine,31.52262,60.0234,61.0307,62.0380,84.0297,121.0541,123.0687,145.0604,,,,,,,1000000,1000000,1000000,1000000
C4H8O2,3-Hydroxy-2-butanone,32.02262,61.0234,62.0307,63.0380,85.0297,123.0541,125.0687,147.0604,,,,,,,1000000,1000000,1000000,1000000
C4H8O2,Isobutyric acid,32.52262,62.0234,63.0307,64.0380,86.0297,125.0541,127.0687,149.0604,,,,,,,1000000,1000000,1000000,1000000
C4H8O2,n-Butyric acid,33.02262,63.0234,64.0307,65.0380,87.0297,127.0541,129.0687,151.0604,,,,,,,1000000,1000000,1000000,1000000
C5H12O,3-Methyl-2-butanol,33.52262,64.0234,65.0307,66.0380,88.0297,129.0541,131.0687,153.0604,,,,,,,1000000,1000000,1000000,1000000
C5H12O,2-Pentanol,34.02262,65.0234,66.0307,67.0380,89.0297,131.0541,133.0687,155.0604,,,,,,,1000000,1000000,1000000,1000000
C3H7NO2,"BM-1; 3,3-Dihydroxy-azetidine",34.52262,66.0234,67.0307,68.0380,90.0297,133.0541,135.0687,157.0604,,,,,,,1000000,1000000,1000000,1000000
C3H6O3,beta-Hydroxypropionic acid,35.02262,67.0234,68.0307,69.0380,91.0297,135.0541,137.0687,159.0604,,,,,,,1000000,1000000,1000000,1000000
C4H10S,Isobutyl mercaptane,35.52262,68.0234,69.0307,70.0380,92.0297,137.0541,139.0687,161.0604,,,,,,,1000000,1000000,1000000,1000000
C4H10S,n-Butyl mercaptane,36.02262,69.0234,70.0307,71.0380,93.0297,139.0541,141.0687,163.0604,,,,,,,1000000,1000000,1000000,1000000
C4H10O2,"2,3-Butandiol",36.52262,70.0234,71.0307,72.0380,94.0297,141.0541,143.0687,165.0604,,,,,,,1000000,1000000,1000000,1000000
C2H5NOS,Thioformine,37.02262,71.0234,72.0307,73.0380,95.0297,143.0541,145.0687,167.0604,,,,,,,1000000,1000000,1000000,1000000
C5H6N2,Methylpyrazine,37.52262,72.0234,73.0307,74.0380,96.0297,145.0541,147.0687,169.0604,,,,,,,1000000,1000000,1000000,1000000
C5H4O2,5-Methylene-2(5H)-furanone; Protoanemoni,38.02262,73.0234,74.0307,75.0380,97.0297,147.0541,149.0687,171.0604,,,,,,,1000000,1000000,1000000,1000000
C7H12,"4-Methylhexa-1,3-dien",38.52262,74.0234,75.0307,76.0380,98.0297,149.0541,151.0687,173.0604,,,,,,,1000000,1000000,1000000,1000000
ClCu,SF-1771; SF-1771-A,39.02262,75.0234,76.0307,77.0380,99.0297,151.0541,153.0687,175.0604,,,,,,,1000000,1000000,1000000,1000000
C5H6O2,3-Methyl-dihydrofuranone,39.52262,76.0234,77.0307,78.0380,100.0297,153.0541,155.0687,177.0604,,,,,,,1000000,1000000,1000000,1000000
C5H6O2,2-Furane-methanol; 2-(Hydroxymethyl)fura,40.02262,77.0234,78.0307,79.0380,101.0297,155.0541,157.0687,179.0604,,,,,,,1000000,1000000,1000000,1000000
C4H6N2O,5-Imino-2H-pyrrol-2-ol; 2-Hydroxy-5-imin,40.52262,78.0234,79.0307,80.0380,102.0297,157.0541,159.0687,181.0604,,,,,,,1000000,1000000,1000000,1000000
C6H10O,(2Z)-Hexenal,41.02262,79.0234,80.0307,81.0380,103.0297,159.0541,161.0687,183.0604,,,,,,,1000000,1000000,1000000,1000000
C6H10O,4-Hexen-3-one,41.52262,80.0234,81.0307,82.0380,104.0297,161.0541,163.0687,185.0604,,,,,,,1000000,1000000,1000000,1000000
C6H10O,4-Methyl-3-penten-2-one,42.02262,81.0234,82.0307,83.0380,105.0297,163.0541,165.0687,187.0604,,,,,,,1000000,1000000,1000000,1000000
C6H10O,2-Methylcyclopentanone,42.52262,82.0234,83.0307,84.0380,106.0297,165.0541,167.0687,189.0604,,,,,,,1000000,1000000,1000000,1000000
C6H10O,Cyclohexanone,43.02262,83.0234,84.0307,85.0380,107.0297,167.0541,169.0687,191.0604,,,,,,,1000000,1000000,1000000,1000000
C4H5NO2,(2S)-2-Amino-3-butynoic acid; FR-900130,43.52262,84.0234,85.0307,86.0380,108.0297,169.0541,171.0687,193.0604,,,,,,,1000000,1000000,1000000,1000000
C4H5NO2,3-Methyl-2H-azirine-2-carboxylic acid; A,44.02262,85.0234,86.0307,87.0380,109.0297,171.0541,173.0687,195.0604,,,,,,,1000000,1000000,1000000,1000000
C5H8O2,delta-Valerolactone,44.52262,86.0234,87.0307,88.0380,110.0297,173.0541,175.0687,197.0604,,,,,,,1000000,1000000,1000000,1000000
C5H8O2,2-Methyl-butenoic acid; Tiglic acid,45.02262,87.0234,88.0307,89.0380,111.0297,175.0541,177.0687,199.0604,,,,,,,1000000,1000000,1000000,1000000
C5H8O2,3-Methyl-butenoic acid,45.52262,88.0234,89.0307,90.0380,112.0297,177.0541,179.0687,201.0604,,,,,,,1000000,1000000,1000000,1000000
C6H12O,"2,3-Dimethyltetrahydrofurane",46.02262,89.0234,90.0307,91.0380,113.0297,179.0541,181.0687,203.0604,,,,,,,1000000,1000000,1000000,1000000
C4H7NO2,3-Amino-4-methyl-2-oxetanone,46.52262,90.0234,91.0307,92.0380,114.0297,181.0541,183.0687,205.0604,,,,,,,1000000,1000000,1000000,1000000
C4H7NO2,L-Azetidine-2-carboxylic acid,47.02262,91.0234,92.0307,93.0380,115.0297,183.0541,185.0687,207.0604,,,,,,,1000000,1000000,1000000,1000000
C5H11NO,2-Methyl-butyramide,47.52262,92.0234,93.0307,94.0380,116.0297,185.0541,187.0687,209.0604,,,,,,,1000000,1000000,1000000,1000000
C6H15N,Triethylamine,48.02262,93.0234,94.0307,95.0380,117.0297,187.0541,189.0687,211.0604,,,,,,,1000000,1000000,1000000,1000000
C3H6N2O2,D-4-Amino-3-isoxazolidinone; Cyclomycin;,48.52262,94.0234,95.0307,96.0380,118.0297,189.0541,191.0687,213.0604,,,,,,,1000000,1000000,1000000,1000000
C5H10O2,3-Hydroxy-3-methyl-2-butanone,49.02262,95.0234,96.0307,97.0380,119.0297,191.0541,193.0687,215.0604,,,,,,,1000000,1000000,1000000,1000000
C5H10O2,Isovaleric acid; 3-Methyl-butyric acid; ,49.52262,96.0234,97.0307,98.0380,120.0297,193.0541,195.0687,217.0604,,,,,,,1000000,1000000,1000000,1000000
C5H10O2,Valeric acid,50.02262,97.0234,98.0307,99.0380,121.0297,195.0541,197.0687,219.0604,,,,,,,1000000,1000000,1000000,1000000
C5H10O2,alpha-Methyl-n-butyric acid; 2-Methyl-bu,50.52262,98.0234,99.0307,100.0380,122.0297,197.0541,199.0687,221.0604,,,,,,,1000000,1000000,1000000,1000000
C6H14O,n-Hexanol,51.02262,99.0234,100.0307,101.0380,123.0297,199.0541,201.0687,223.0604,,,,,,,1000000,1000000,1000000,1000000
C6H14O,3-Methyl-2-pentanol,51.52262,100.0234,101.0307,102.0380,124.0297,201.0541,203.0687,225.0604,,,,,,,1000000,1000000,1000000,1000000
C5H14N2,Cadaverine,52.02262,101.0234,102.0307,103.0380,125.0297,203.0541,205.0687,227.0604,,,,,,,1000000,1000000,1000000,1000000
C4H9NO2,S-54832-A-II,52.52262,102.0234,103.0307,104.0380,126.0297,205.0541,207.0687,229.0604,,,,,,,1000000,1000000,1000000,1000000
C4H9NO2,S-54832-A-III,53.02262,103.0234,104.0307,105.0380,127.0297,207.0541,209.0687,231.0604,,,,,,,1000000,1000000,1000000,1000000
C4H9NO2,Planothiocin A,53.52262,104.0234,105.0307,106.0380,128.0297,209.0541,211.0687,233.0604,,,,,,,1000000,1000000,1000000,1000000
C4H9NO2,Planothiocin B,54.02262,105.0234,106.0307,107.0380,129.0297,211.0541,213.0687,235.0604,,,,,,,1000000,1000000,1000000,1000000
C4H9NO2,Planothiocin C,54.52262,106.0234,107.0307,108.0380,130.0297,213.0541,215.0687,237.0604,,,,,,,1000000,1000000,1000000,1000000
C4H9NO2,Planothiocin D,55.02262,107.0234,108.0307,109.0380,131.0297,215.0541,217.0687,239.0604,,,,,,,1000000,1000000,1000000,1000000
C4H9NO2,Planothiocin E,55.52262,108.0234,109.0307,110.0380,132.0297,217.0541,219.0687,241.0604,,,,,,,1000000,1000000,1000000,1000000
C4H9NO2,Planothiocin F,56.02262,109.0234,110.0307,111.0380,133.0297,219.0541,221.0687,243.0604,,,,,,,1000000,1000000,1000000,1000000
C4H9NO2,Planothiocin G,56.52262,110.0234,111.0307,112.0380,134.0297,221.0541,223.0687,245.0604,,,,,,,1000000,1000000,1000000,1000000
C4H9NO2,A-6984 B; Peptide-B,57.02262,111.0234,112.0307,113.0380,135.0297,223.0541,225.0687,247.0604,,,,,,,1000000,1000000,1000000,1000000
C4H9NO2,A-6984 C; Peptide-C,57.52262,112.0234,113.0307,114.0380,136.0297,225.0541,227.0687,249.0604,,,,,,,1000000,1000000,1000000,1000000
C4H9NO2,A-6984 D; Peptide-D,58.02262,113.0234,114.0307,115.0380,137.0297,227.0541,229.0687,251.0604,,,,,,,1000000,1000000,1000000,1000000
C4H9NO2,CP-46192; 46192,58.52262,114.0234,115.0307,116.0380,138.0297,229.0541,231.0687,253.0604,,,,,,,1000000,1000000,1000000,1000000
C4H9NO2,S-53210-A-I,59.02262,115.0234,116.0307,117.0380,139.0297,231.0541,233.0687,255.0604,,,,,,,1000000,1000000,1000000,1000000
C4H9NO2,S-53210-A-II,59.52262,116.0234,117.0307,118.0380,140.0297,233.0541,235.0687,257.0604,,,,,,,1000000,1000000,1000000,1000000
C4H9NO2,S-53210-A-III,60.02262,117.0234,118.0307,119.0380,141.0297,235.0541,237.0687,259.0604,,,,,,,1000000,1000000,1000000,1000000
C4H9NO2,WR 142-FPG,60.52262,118.0234,119.0307,120.0380,142.0297,237.0541,239.0687,261.0604,,,,,,,1000000,1000000,1000000,1000000
C3H4O4,Hydroxypyruvic acid,61.02262,119.0234,120.0307,121.0380,143.0297,239.0541,241.0687,263.0604,,,,,,,1000000,1000000,1000000,1000000
C4H8O3,DL-beta-Hydroxybutyric acid,61.52262,120.0234,121.0307,122.0380,144.0297,241.0541,243.0687,265.0604,,,,,,,1000000,1000000,1000000,1000000
C7H6O,Benzaldehyde,62.02262,121.0234,122.0307,123.0380,145.0297,243.0541,245.0687,267.0604,,,,,,,1000000,1000000,1000000,1000000
C7H6O,Tropone,62.52262,122.0234,123.0307,124.0380,146.0297,245.0541,247.0687,269.0604,,,,,,,1000000,1000000,1000000,1000000
C6H6N2,Vinylpyrazine,63.02262,123.0234,124.0307,125.0380,147.0297,247.0541,249.0687,271.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,560-A1; 560-A2; 674-A2; 699-A1; 667-A3,63.52262,124.0234,125.0307,126.0380,148.0297,249.0541,251.0687,273.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,18-45; 18-71; 18-30; 18-80,64.02262,125.0234,126.0307,127.0380,149.0297,251.0541,253.0687,275.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,255-A; E-79-A; Endomycin; Endomycin-A; H,64.52262,126.0234,127.0307,128.0380,150.0297,253.0541,255.0687,277.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,3603-9; 3614-6,65.02262,127.0234,128.0307,129.0380,151.0297,255.0541,257.0687,279.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,92,65.52262,128.0234,129.0307,130.0380,152.0297,257.0541,259.0687,281.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,A-7,66.02262,129.0234,130.0307,131.0380,153.0297,259.0541,261.0687,283.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Abhasomycin; Abkhazomycin; LIA-0740; LIA,66.52262,130.0234,131.0307,132.0380,154.0297,261.0541,263.0687,285.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,AC-2-435,67.02262,131.0234,132.0307,133.0380,155.0297,263.0541,265.0687,287.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Akitamycin; Toyamycin; T-6; 1067,67.52262,132.0234,133.0307,134.0380,156.0297,265.0541,267.0687,289.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Albicidin,68.02262,133.0234,134.0307,135.0380,157.0297,267.0541,269.0687,291.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Albotetraene,68.52262,134.0234,135.0307,136.0380,158.0297,269.0541,271.0687,293.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Antimycoin; Antimycoin-A; Fungididin-RAW,69.02262,135.0234,136.0307,137.0380,159.0297,271.0541,273.0687,295.0604,,,,,,,1000000,1000000,1000000,1000000
